Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0010948,negative regulation of cell cycle process,19_GO:0048519 negative regulation of biological process,-3.9,15,7.3,30198,287,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-2.1,SGLasso-SVM
GO Biological Processes,19,GO:1905818,regulation of chromosome separation,19_GO:0050789 regulation of biological process,-3.9,30,9.1,30198,109,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.1,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-3.8,9.6,6.3,30198,561,28,5,18,7.2,699|1063|4751|22974|83540,BUB1|CENPF|NEK2|TPX2|NUF2,-2.1,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-69618,Mitotic Spindle Checkpoint,,-3.8,29,9,30198,113,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.1,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,,-3.8,28,8.8,30198,117,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2,SGLasso-SVM
GO Biological Processes,19,GO:0000070,mitotic sister chromatid segregation,19_GO:0009987 cellular process,-3.7,27,8.7,30198,119,28,3,11,5.8,4751|24137|83540,NEK2|KIF4A|NUF2,-2,SGLasso-SVM
GO Biological Processes,19,GO:0140694,non-membrane-bounded organelle assembly,19_GO:0009987 cellular process,-3.7,14,6.9,30198,312,28,4,14,6.6,1063|4751|22974|24137,CENPF|NEK2|TPX2|KIF4A,-2,SGLasso-SVM
GO Biological Processes,19,GO:0007093,mitotic cell cycle checkpoint signaling,19_GO:0023052 signaling,-3.7,26,8.6,30198,123,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,,-3.7,26,8.5,30198,126,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-195258,RHO GTPase Effectors,,-3.6,13,6.8,30198,327,28,4,14,6.6,699|1063|83540|128239,BUB1|CENPF|NUF2|IQGAP3,-1.9,SGLasso-SVM
GO Biological Processes,19,GO:0051983,regulation of chromosome segregation,19_GO:0050789 regulation of biological process,-3.6,25,8.3,30198,130,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.9,SGLasso-SVM
GO Biological Processes,19,GO:0010639,negative regulation of organelle organization,19_GO:0048519 negative regulation of biological process,-3.6,13,6.6,30198,342,28,4,14,6.6,699|1063|22974|83540,BUB1|CENPF|TPX2|NUF2,-1.9,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-5663220,RHO GTPases Activate Formins,,-3.5,23,8,30198,140,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.8,SGLasso-SVM
GO Biological Processes,19,GO:0045786,negative regulation of cell cycle,19_GO:0048519 negative regulation of biological process,-3.4,12,6.2,30198,375,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-1.8,SGLasso-SVM
GO Biological Processes,19,GO:0000075,cell cycle checkpoint signaling,19_GO:0023052 signaling,-3.4,21,7.6,30198,153,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.8,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-3.4,7.8,5.5,30198,692,28,5,18,7.2,699|1063|4751|22974|83540,BUB1|CENPF|NEK2|TPX2|NUF2,-1.7,SGLasso-SVM
GO Biological Processes,19,GO:0010564,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-3.3,7.3,5.3,30198,734,28,5,18,7.2,699|1063|4751|22974|83540,BUB1|CENPF|NEK2|TPX2|NUF2,-1.7,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-68886,M Phase,,-3.2,10,5.8,30198,418,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-1.6,SGLasso-SVM
GO Biological Processes,19,GO:1901991,negative regulation of mitotic cell cycle phase transition,19_GO:0048519 negative regulation of biological process,-3.2,18,7,30198,178,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.6,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-2467813,Separation of Sister Chromatids,,-3.1,17,6.7,30198,191,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.5,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-69275,G2/M Transition,,-3.1,17,6.6,30198,196,28,3,11,5.8,1063|4751|22974,CENPF|NEK2|TPX2,-1.5,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-453274,Mitotic G2-G2/M phases,,-3.1,16,6.6,30198,198,28,3,11,5.8,1063|4751|22974,CENPF|NEK2|TPX2,-1.5,SGLasso-SVM
GO Biological Processes,19,GO:0045930,negative regulation of mitotic cell cycle,19_GO:0048519 negative regulation of biological process,-2.9,14,6.1,30198,227,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.4,SGLasso-SVM
GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-2.9,8.3,5.1,30198,517,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-1.4,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-68882,Mitotic Anaphase,,-2.9,14,6,30198,236,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.3,SGLasso-SVM
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-2.9,8.2,5.1,30198,526,28,4,14,6.6,4751|22974|24137|83540,NEK2|TPX2|KIF4A|NUF2,-1.3,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-2555396,Mitotic Metaphase and Anaphase,,-2.9,14,6,30198,237,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.3,SGLasso-SVM
GO Biological Processes,19,GO:1901988,negative regulation of cell cycle phase transition,19_GO:0048519 negative regulation of biological process,-2.9,14,5.9,30198,238,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.3,SGLasso-SVM
GO Biological Processes,19,GO:0051321,meiotic cell cycle,19_GO:0022414 reproductive process,-2.8,13,5.9,30198,241,28,3,11,5.8,699|4751|83540,BUB1|NEK2|NUF2,-1.3,SGLasso-SVM
Canonical Pathways,11,M5884,NABA CORE MATRISOME,,-2.7,12,5.5,30198,275,28,3,11,5.8,1300|3489|8840,COL10A1|IGFBP6|CCN4,-1.2,SGLasso-SVM
GO Biological Processes,19,GO:0001822,kidney development,19_GO:0032502 developmental process,-2.6,11,5.3,30198,287,28,3,11,5.8,1063|2246|168002,CENPF|FGF1|DACT2,-1.1,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-2.6,11,5.3,30198,293,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-1.1,SGLasso-SVM
GO Biological Processes,19,GO:0072001,renal system development,19_GO:0032502 developmental process,-2.6,11,5.2,30198,296,28,3,11,5.8,1063|2246|168002,CENPF|FGF1|DACT2,-1.1,SGLasso-SVM
GO Biological Processes,19,GO:0001655,urogenital system development,19_GO:0032502 developmental process,-2.4,9.7,4.9,30198,334,28,3,11,5.8,1063|2246|168002,CENPF|FGF1|DACT2,-0.98,SGLasso-SVM
GO Biological Processes,19,GO:0051129,negative regulation of cellular component organization,19_GO:0048519 negative regulation of biological process,-2.4,6.2,4.2,30198,693,28,4,14,6.6,699|1063|22974|83540,BUB1|CENPF|TPX2|NUF2,-0.97,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-2.4,6.1,4.2,30198,707,28,4,14,6.6,699|1063|83540|128239,BUB1|CENPF|NUF2|IQGAP3,-0.95,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-2.4,6,4.1,30198,723,28,4,14,6.6,699|1063|83540|128239,BUB1|CENPF|NUF2|IQGAP3,-0.92,SGLasso-SVM
GO Biological Processes,19,GO:1901990,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-2.4,9.1,4.7,30198,355,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-0.92,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-382551,Transport of small molecules,,-2.4,5.9,4.1,30198,729,28,4,14,6.6,762|5348|10349|338328,CA4|FXYD1|ABCA10|GPIHBP1,-0.91,SGLasso-SVM
GO Biological Processes,19,GO:0001934,positive regulation of protein phosphorylation,19_GO:0048518 positive regulation of biological process,-2.3,5.8,4,30198,741,28,4,14,6.6,2246|22974|85480|128239,FGF1|TPX2|TSLP|IQGAP3,-0.89,SGLasso-SVM
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-2.3,5.7,4,30198,751,28,4,14,6.6,2246|2920|4320|25891,FGF1|CXCL2|MMP11|PAMR1,-0.87,SGLasso-SVM
GO Biological Processes,19,GO:0070925,organelle assembly,19_GO:0009987 cellular process,-2.3,5.5,3.9,30198,783,28,4,14,6.6,1063|4751|22974|24137,CENPF|NEK2|TPX2|KIF4A,-0.81,SGLasso-SVM
GO Biological Processes,19,GO:0007017,microtubule-based process,19_GO:0009987 cellular process,-2.2,5.5,3.9,30198,786,28,4,14,6.6,4751|22974|24137|83540,NEK2|TPX2|KIF4A|NUF2,-0.81,SGLasso-SVM
GO Biological Processes,19,GO:1901987,regulation of cell cycle phase transition,19_GO:0050789 regulation of biological process,-2.1,7.1,4,30198,454,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-0.66,SGLasso-SVM
Canonical Pathways,11,M5884,NABA CORE MATRISOME,,-6.6,22,11,30198,275,30,6,20,7.3,1300|1311|7148|8840|11082|148113,COL10A1|COMP|TNXB|CCN4|ESM1|CILP2,-3.9,SVM-RFE
GO Biological Processes,19,GO:0030198,extracellular matrix organization,19_GO:0009987 cellular process,-5.2,19,9.2,30198,271,30,5,17,6.8,1300|1311|2295|4320|7148,COL10A1|COMP|FOXF2|MMP11|TNXB,-3,SVM-RFE
GO Biological Processes,19,GO:0043062,extracellular structure organization,19_GO:0009987 cellular process,-5.2,19,9.1,30198,272,30,5,17,6.8,1300|1311|2295|4320|7148,COL10A1|COMP|FOXF2|MMP11|TNXB,-3,SVM-RFE
GO Biological Processes,19,GO:0045229,external encapsulating structure organization,19_GO:0009987 cellular process,-5.2,18,9.1,30198,274,30,5,17,6.8,1300|1311|2295|4320|7148,COL10A1|COMP|FOXF2|MMP11|TNXB,-3,SVM-RFE
GO Biological Processes,19,GO:0046683,response to organophosphorus,19_GO:0050896 response to stimulus,-5.1,32,11,30198,126,30,4,13,6.2,3753|5179|6532|9127,KCNE1|PENK|SLC6A4|P2RX6,-3,SVM-RFE
GO Biological Processes,19,GO:0003012,muscle system process,19_GO:0032501 multicellular organismal process,-5.1,18,9,30198,282,30,5,17,6.8,1311|3753|5021|9127|23493,COMP|KCNE1|OXTR|P2RX6|HEY2,-2.9,SVM-RFE
GO Biological Processes,19,GO:0014074,response to purine-containing compound,19_GO:0050896 response to stimulus,-5,29,10,30198,140,30,4,13,6.2,3753|5179|6532|9127,KCNE1|PENK|SLC6A4|P2RX6,-2.8,SVM-RFE
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-5,17,8.6,30198,301,30,5,17,6.8,1300|1311|4320|4680|7148,COL10A1|COMP|MMP11|CEACAM6|TNXB,-2.8,SVM-RFE
GO Biological Processes,19,GO:0030199,collagen fibril organization,19_GO:0009987 cellular process,-4.6,54,13,30198,56,30,3,10,5.5,1311|4320|7148,COMP|MMP11|TNXB,-2.6,SVM-RFE
Canonical Pathways,11,M3008,NABA ECM GLYCOPROTEINS,,-4.4,21,8.7,30198,196,30,4,13,6.2,1311|7148|8840|148113,COMP|TNXB|CCN4|CILP2,-2.5,SVM-RFE
GO Biological Processes,19,GO:0048844,artery morphogenesis,19_GO:0032502 developmental process,-4.4,44,11,30198,69,30,3,10,5.5,1311|2253|23493,COMP|FGF8|HEY2,-2.4,SVM-RFE
GO Biological Processes,19,GO:0001837,epithelial to mesenchymal transition,19_GO:0032502 developmental process,-4.2,39,11,30198,78,30,3,10,5.5,2253|2295|23493,FGF8|FOXF2|HEY2,-2.3,SVM-RFE
GO Biological Processes,19,GO:0006936,muscle contraction,19_GO:0032501 multicellular organismal process,-4.1,18,8,30198,228,30,4,13,6.2,1311|3753|5021|9127,COMP|KCNE1|OXTR|P2RX6,-2.3,SVM-RFE
KEGG Pathway,24,hsa04020,Calcium signaling pathway,,-4,17,7.7,30198,240,30,4,13,6.2,2253|5021|5137|9127,FGF8|OXTR|PDE1C|P2RX6,-2.2,SVM-RFE
GO Biological Processes,19,GO:0060840,artery development,19_GO:0032502 developmental process,-3.9,31,9.4,30198,97,30,3,10,5.5,1311|2253|23493,COMP|FGF8|HEY2,-2.1,SVM-RFE
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-3.9,10,6.4,30198,503,30,5,17,6.8,1066|2002|2920|5179|6532,CES1|ELK1|CXCL2|PENK|SLC6A4,-2.1,SVM-RFE
GO Biological Processes,19,GO:0071407,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-3.9,10,6.4,30198,505,30,5,17,6.8,1066|2002|3753|5179|6532,CES1|ELK1|KCNE1|PENK|SLC6A4,-2.1,SVM-RFE
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-3.9,10,6.4,30198,505,30,5,17,6.8,1300|1311|2253|5307|8840,COL10A1|COMP|FGF8|PITX1|CCN4,-2.1,SVM-RFE
GO Biological Processes,19,GO:0007611,learning or memory,19_GO:0032501 multicellular organismal process,-3.9,15,7.3,30198,265,30,4,13,6.2,3845|5021|6532|25769,KRAS|OXTR|SLC6A4|SLC24A2,-2.1,SVM-RFE
GO Biological Processes,19,GO:0046620,regulation of organ growth,19_GO:0040007 growth,-3.9,30,9.2,30198,101,30,3,10,5.5,2253|6532|23493,FGF8|SLC6A4|HEY2,-2.1,SVM-RFE
GO Biological Processes,19,GO:0007610,behavior,19_GO:0032501 multicellular organismal process,-3.6,8.8,5.9,30198,572,30,5,17,6.8,3845|5021|5179|6532|25769,KRAS|OXTR|PENK|SLC6A4|SLC24A2,-1.9,SVM-RFE
GO Biological Processes,19,GO:0050890,cognition,19_GO:0032501 multicellular organismal process,-3.6,13,6.7,30198,307,30,4,13,6.2,3845|5021|6532|25769,KRAS|OXTR|SLC6A4|SLC24A2,-1.9,SVM-RFE
GO Biological Processes,19,GO:0007613,memory,19_GO:0032501 multicellular organismal process,-3.6,25,8.3,30198,121,30,3,10,5.5,5021|6532|25769,OXTR|SLC6A4|SLC24A2,-1.9,SVM-RFE
WikiPathways,27,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,,-3.6,13,6.7,30198,309,30,4,13,6.2,1311|2253|3845|7148,COMP|FGF8|KRAS|TNXB,-1.9,SVM-RFE
GO Biological Processes,19,GO:0032355,response to estradiol,19_GO:0050896 response to stimulus,-3.6,25,8.3,30198,123,30,3,10,5.5,5021|5179|6532,OXTR|PENK|SLC6A4,-1.9,SVM-RFE
KEGG Pathway,24,hsa05165,Human papillomavirus infection,,-3.5,12,6.4,30198,331,30,4,13,6.2,1311|3845|7148|23493,COMP|KRAS|TNXB|HEY2,-1.8,SVM-RFE
WikiPathways,27,WP4172,PI3K-Akt signaling pathway,,-3.4,12,6.3,30198,345,30,4,13,6.2,1311|2253|3845|7148,COMP|FGF8|KRAS|TNXB,-1.8,SVM-RFE
Reactome Gene Sets,6,R-HSA-388396,GPCR downstream signalling,,-3.4,8,5.6,30198,633,30,5,17,6.8,2920|3845|5021|5137|5179,CXCL2|KRAS|OXTR|PDE1C|PENK,-1.8,SVM-RFE
GO Biological Processes,19,GO:0035296,regulation of tube diameter,19_GO:0065007 biological regulation,-3.4,21,7.7,30198,141,30,3,10,5.5,1311|5021|6532,COMP|OXTR|SLC6A4,-1.8,SVM-RFE
GO Biological Processes,19,GO:0097746,blood vessel diameter maintenance,19_GO:0032501 multicellular organismal process,-3.4,21,7.7,30198,141,30,3,10,5.5,1311|5021|6532,COMP|OXTR|SLC6A4,-1.8,SVM-RFE
GO Biological Processes,19,GO:0035150,regulation of tube size,19_GO:0065007 biological regulation,-3.4,21,7.6,30198,142,30,3,10,5.5,1311|5021|6532,COMP|OXTR|SLC6A4,-1.8,SVM-RFE
KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-3.4,11,6.2,30198,354,30,4,13,6.2,1311|2253|3845|7148,COMP|FGF8|KRAS|TNXB,-1.7,SVM-RFE
KEGG Pathway,24,hsa05224,Breast cancer,,-3.4,21,7.5,30198,147,30,3,10,5.5,2253|3845|23493,FGF8|KRAS|HEY2,-1.7,SVM-RFE
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-3.3,7.6,5.4,30198,663,30,5,17,6.8,1311|2253|3845|11082|23493,COMP|FGF8|KRAS|ESM1|HEY2,-1.7,SVM-RFE
KEGG Pathway,24,hsa04921,Oxytocin signaling pathway,,-3.3,20,7.3,30198,154,30,3,10,5.5,2002|3845|5021,ELK1|KRAS|OXTR,-1.7,SVM-RFE
GO Biological Processes,19,GO:0030900,forebrain development,19_GO:0032502 developmental process,-3.3,11,6,30198,374,30,4,13,6.2,2253|3845|5021|5307,FGF8|KRAS|OXTR|PITX1,-1.7,SVM-RFE
WikiPathways,27,WP4262,Breast cancer pathway,,-3.3,19,7.2,30198,157,30,3,10,5.5,2253|3845|23493,FGF8|KRAS|HEY2,-1.7,SVM-RFE
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0032502 developmental process,-3.2,7.2,5.2,30198,699,30,5,17,6.8,3845|4320|6532|8840|23493,KRAS|MMP11|SLC6A4|CCN4|HEY2,-1.6,SVM-RFE
Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-3.2,7.1,5.2,30198,708,30,5,17,6.8,2920|3845|5021|5137|5179,CXCL2|KRAS|OXTR|PDE1C|PENK,-1.6,SVM-RFE
GO Biological Processes,19,GO:0048762,mesenchymal cell differentiation,19_GO:0032502 developmental process,-3.2,18,7,30198,168,30,3,10,5.5,2253|2295|23493,FGF8|FOXF2|HEY2,-1.6,SVM-RFE
GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-3.2,10,5.7,30198,402,30,4,13,6.2,2002|2253|5021|5307,ELK1|FGF8|OXTR|PITX1,-1.6,SVM-RFE
GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-3.2,9.9,5.7,30198,406,30,4,13,6.2,1311|3753|5021|6532,COMP|KCNE1|OXTR|SLC6A4,-1.6,SVM-RFE
GO Biological Processes,19,GO:0030324,lung development,19_GO:0032502 developmental process,-3.2,17,6.8,30198,174,30,3,10,5.5,2002|2253|3845,ELK1|FGF8|KRAS,-1.6,SVM-RFE
GO Biological Processes,19,GO:0048736,appendage development,19_GO:0032502 developmental process,-3.1,17,6.8,30198,177,30,3,10,5.5,1311|2253|5307,COMP|FGF8|PITX1,-1.5,SVM-RFE
GO Biological Processes,19,GO:0060173,limb development,19_GO:0032502 developmental process,-3.1,17,6.8,30198,177,30,3,10,5.5,1311|2253|5307,COMP|FGF8|PITX1,-1.5,SVM-RFE
GO Biological Processes,19,GO:0030323,respiratory tube development,19_GO:0032502 developmental process,-3.1,17,6.7,30198,178,30,3,10,5.5,2002|2253|3845,ELK1|FGF8|KRAS,-1.5,SVM-RFE
GO Biological Processes,19,GO:0000165,MAPK cascade,19_GO:0023052 signaling,-3.1,17,6.7,30198,180,30,3,10,5.5,2253|3845|5021,FGF8|KRAS|OXTR,-1.5,SVM-RFE
GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-3.1,6.8,5,30198,744,30,5,17,6.8,2253|3845|5021|5307|6532,FGF8|KRAS|OXTR|PITX1|SLC6A4,-1.5,SVM-RFE
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-3.1,9.6,5.6,30198,421,30,4,13,6.2,1311|2253|11082|23493,COMP|FGF8|ESM1|HEY2,-1.5,SVM-RFE
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-3.1,6.7,5,30198,751,30,5,17,6.8,2253|2920|4320|25891|27190,FGF8|CXCL2|MMP11|PAMR1|IL17B,-1.5,SVM-RFE
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0023052 signaling,-3.1,9.3,5.5,30198,435,30,4,13,6.2,3845|5021|6532|25769,KRAS|OXTR|SLC6A4|SLC24A2,-1.5,SVM-RFE
GO Biological Processes,19,GO:0009314,response to radiation,19_GO:0050896 response to stimulus,-3.1,9.3,5.5,30198,435,30,4,13,6.2,2002|3845|5179|25769,ELK1|KRAS|PENK|SLC24A2,-1.5,SVM-RFE
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0023052 signaling,-3.1,9.2,5.5,30198,436,30,4,13,6.2,3845|5021|6532|25769,KRAS|OXTR|SLC6A4|SLC24A2,-1.5,SVM-RFE
GO Biological Processes,19,GO:0060541,respiratory system development,19_GO:0032502 developmental process,-3,15,6.3,30198,198,30,3,10,5.5,2002|2253|3845,ELK1|FGF8|KRAS,-1.4,SVM-RFE
GO Biological Processes,19,GO:0060322,head development,19_GO:0032502 developmental process,-3,6.4,4.8,30198,789,30,5,17,6.8,2253|3845|5021|5307|6532,FGF8|KRAS|OXTR|PITX1|SLC6A4,-1.4,SVM-RFE
KEGG Pathway,24,hsa04510,Focal adhesion,,-3,15,6.3,30198,201,30,3,10,5.5,1311|2002|7148,COMP|ELK1|TNXB,-1.4,SVM-RFE
Reactome Gene Sets,6,R-HSA-375276,Peptide ligand-binding receptors,,-3,15,6.3,30198,201,30,3,10,5.5,2920|5021|5179,CXCL2|OXTR|PENK,-1.4,SVM-RFE
WikiPathways,27,WP306,Focal adhesion,,-3,15,6.3,30198,202,30,3,10,5.5,1311|2002|7148,COMP|ELK1|TNXB,-1.4,SVM-RFE
GO Biological Processes,19,GO:0060348,bone development,19_GO:0032502 developmental process,-2.9,14,6.2,30198,209,30,3,10,5.5,1311|2253|8840,COMP|FGF8|CCN4,-1.4,SVM-RFE
GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-2.9,8.3,5.1,30198,484,30,4,13,6.2,1311|3845|5307|23493,COMP|KRAS|PITX1|HEY2,-1.3,SVM-RFE
GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-2.8,8.1,5,30198,497,30,4,13,6.2,1311|3753|5021|6532,COMP|KCNE1|OXTR|SLC6A4,-1.3,SVM-RFE
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-2.8,8.1,5,30198,498,30,4,13,6.2,1311|2002|2253|5179,COMP|ELK1|FGF8|PENK,-1.3,SVM-RFE
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-2.8,8,5,30198,505,30,4,13,6.2,1311|2253|11082|23493,COMP|FGF8|ESM1|HEY2,-1.3,SVM-RFE
GO Biological Processes,19,GO:0009636,response to toxic substance,19_GO:0050896 response to stimulus,-2.8,13,5.8,30198,229,30,3,10,5.5,1066|5179|6532,CES1|PENK|SLC6A4,-1.3,SVM-RFE
GO Biological Processes,19,GO:0060485,mesenchyme development,19_GO:0032502 developmental process,-2.8,13,5.8,30198,231,30,3,10,5.5,2253|2295|23493,FGF8|FOXF2|HEY2,-1.3,SVM-RFE
KEGG Pathway,24,hsa04014,Ras signaling pathway,,-2.8,13,5.8,30198,232,30,3,10,5.5,2002|2253|3845,ELK1|FGF8|KRAS,-1.3,SVM-RFE
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-2.8,7.7,4.9,30198,526,30,4,13,6.2,1311|2253|11082|23493,COMP|FGF8|ESM1|HEY2,-1.2,SVM-RFE
GO Biological Processes,19,GO:0045165,cell fate commitment,19_GO:0032502 developmental process,-2.7,12,5.6,30198,244,30,3,10,5.5,2253|5307|23493,FGF8|PITX1|HEY2,-1.2,SVM-RFE
KEGG Pathway,24,hsa05200,Pathways in cancer,,-2.7,7.6,4.8,30198,531,30,4,13,6.2,2002|2253|3845|23493,ELK1|FGF8|KRAS|HEY2,-1.2,SVM-RFE
WikiPathways,27,WP382,MAPK signaling pathway,,-2.7,12,5.6,30198,249,30,3,10,5.5,2002|2253|3845,ELK1|FGF8|KRAS,-1.2,SVM-RFE
GO Biological Processes,19,GO:1903522,regulation of blood circulation,19_GO:0032501 multicellular organismal process,-2.7,12,5.4,30198,259,30,3,10,5.5,3753|5021|23493,KCNE1|OXTR|HEY2,-1.2,SVM-RFE
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-2.7,7.2,4.7,30198,557,30,4,13,6.2,2253|2295|3845|23493,FGF8|FOXF2|KRAS|HEY2,-1.2,SVM-RFE
GO Biological Processes,19,GO:0042692,muscle cell differentiation,19_GO:0032502 developmental process,-2.7,12,5.4,30198,261,30,3,10,5.5,1311|3845|23493,COMP|KRAS|HEY2,-1.2,SVM-RFE
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-2.7,7.2,4.7,30198,560,30,4,13,6.2,4680|8840|10894|131578,CEACAM6|CCN4|LYVE1|LRRC15,-1.2,SVM-RFE
GO Biological Processes,19,GO:0003018,vascular process in circulatory system,19_GO:0032501 multicellular organismal process,-2.7,11,5.4,30198,263,30,3,10,5.5,1311|5021|6532,COMP|OXTR|SLC6A4,-1.2,SVM-RFE
GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-2.6,7,4.6,30198,576,30,4,13,6.2,1066|2253|23493|168002,CES1|FGF8|HEY2|DACT2,-1.1,SVM-RFE
GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-2.6,11,5.3,30198,273,30,3,10,5.5,1311|5179|8840,COMP|PENK|CCN4,-1.1,SVM-RFE
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-2.6,6.9,4.5,30198,584,30,4,13,6.2,4680|8840|10894|131578,CEACAM6|CCN4|LYVE1|LRRC15,-1.1,SVM-RFE
GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0051179 localization,-2.6,6.7,4.5,30198,597,30,4,13,6.2,4680|8840|10894|131578,CEACAM6|CCN4|LYVE1|LRRC15,-1.1,SVM-RFE
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-2.6,6.7,4.5,30198,599,30,4,13,6.2,4680|8840|10894|131578,CEACAM6|CCN4|LYVE1|LRRC15,-1.1,SVM-RFE
GO Biological Processes,19,GO:0036293,response to decreased oxygen levels,19_GO:0050896 response to stimulus,-2.5,10,5.1,30198,290,30,3,10,5.5,5021|5179|6532,OXTR|PENK|SLC6A4,-1.1,SVM-RFE
KEGG Pathway,24,hsa04010,MAPK signaling pathway,,-2.5,10,5,30198,294,30,3,10,5.5,2002|2253|3845,ELK1|FGF8|KRAS,-1,SVM-RFE
